,fit_time,score_time,test_precision,test_accuracy
0,0.1329810619354248,0.0011839866638183594,0.9259259259259259,0.9315068493150684
1,0.2352592945098877,0.0010559558868408203,0.875,0.9041095890410958
2,0.6329419612884521,0.0010170936584472656,0.9272727272727272,0.9383561643835616
3,0.41452813148498535,0.0009837150573730469,0.8596491228070176,0.8972602739726028
4,0.19305181503295898,0.001950979232788086,0.896551724137931,0.9315068493150684
5,0.04444694519042969,0.0009899139404296875,0.9803921568627451,0.952054794520548
6,0.9046461582183838,0.0010678768157958984,0.896551724137931,0.9315068493150684
7,0.3553783893585205,0.003063678741455078,0.8888888888888888,0.9041095890410958
8,0.8019740581512451,0.003246784210205078,0.8813559322033898,0.9246575342465754
9,0.8652238845825195,0.0011360645294189453,0.8620689655172413,0.903448275862069
